Journal name,URL,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
3D Printing in Medicine,https://threedmedprint.biomedcentral.com/,3D PRINT MED,SPRINGERNATURE,,2365-6271,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,697,3.2,Q1,0.97,100%
AAPS Journal,https://www.aaps.org/education-and-research/journals/the-aaps-journal,AAPS J,SPRINGER,1550-7416,1550-7416,PHARMACOLOGY & PHARMACY,SCIE,"7,346",5,Q1,0.98,33.33%
ACADEMIC EMERGENCY MEDICINE,https://onlinelibrary.wiley.com/journal/15532712,ACAD EMERG MED,WILEY,1069-6563,1553-2712,EMERGENCY MEDICINE,SCIE,"9,853",3.4,Q1,1.66,14.53%
ACADEMIC MEDICINE,https://journals.lww.com/academicmedicine/pages/default.aspx,ACAD MED,LIPPINCOTT WILLIAMS & WILKINS,1040-2446,1938-808X,"EDUCATION, SCIENTIFIC DISCIPLINES",SCIE,"22,520",5.3,Q1,2.01,10.60%
ACADEMIC PSYCHIATRY,https://link.springer.com/journal/40596,ACAD PSYCHIATR,SPRINGER,1042-9670,1545-7230,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,573",2.2,Q1,0.67,15.89%
ACADEMIC RADIOLOGY,https://www.academicradiology.org/,ACAD RADIOL,ELSEVIER SCIENCE INC,1076-6332,1878-4046,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"9,023",3.8,Q1,1.41,10.58%
ACADEMY OF MANAGEMENT JOURNAL,https://aom.org/research/journals/journal,ACAD MANAGE J,ACAD MANAGEMENT,0001-4273,1948-0989,BUSINESS,SSCI,"47,035",9.5,Q1,2.31,0%
ACADEMY OF MANAGEMENT REVIEW,https://journals.aom.org/journal/amr,ACAD MANAGE REV,ACAD MANAGEMENT,0363-7425,1930-3807,BUSINESS,SSCI,"40,929",19.3,Q1,3.45,0%
ACCIDENT ANALYSIS AND PREVENTION,https://www.sciencedirect.com/journal/accident-analysis-and-prevention,ACCIDENT ANAL PREV,PERGAMON-ELSEVIER SCIENCE LTD,0001-4575,1879-2057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"26,900",5.7,Q1,1.99,14.26%
ACCOUNTING ORGANIZATIONS AND SOCIETY,https://www.sciencedirect.com/journal/accounting-organizations-and-society,ACCOUNT ORG SOC,PERGAMON-ELSEVIER SCIENCE LTD,0361-3682,1873-6289,"BUSINESS, FINANCE",SSCI,"8,460",3.6,Q1,1.24,19.80%
