rank,journal_name,issn,eissn,url,source
1,CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,http://onlinelibrary.wiley.com/journal/10.3322/(ISSN)1542-4863,GoingPub-EISSN
2,NATURE REVIEWS DRUG DISCOVERY,1474-1776,1474-1784,https://www.nature.com/nrd,GoingPub-EISSN
3,LANCET,0140-6736,1474-547X,http://www.thelancet.com/,GoingPub-EISSN
4,NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,1533-4406,http://www.nejm.org/,GoingPub-EISSN
5,BMJ-British Medical Journal,0959-535X,1756-1833,https://www.bmj.com/,Journal.csv-ISSN
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,1471-0080,https://www.nature.com/nrm,GoingPub-EISSN
7,Nature Reviews Clinical Oncology,1759-4774,1759-4782,https://www.nature.com/nrclinonc,GoingPub-EISSN
8,Nature Reviews Materials,2058-8437,2058-8437,https://www.nature.com/natrevmats,GoingPub-ISSN
9,Nature Reviews Disease Primers,2056-676X,2056-676X,http://www.nature.com/nrdp,GoingPub-ISSN
10,NATURE REVIEWS CANCER,1474-175X,1474-1768,https://www.nature.com/nrc,GoingPub-EISSN
11,MMWR Recommendations and Reports,1057-5987,1545-8601,https://www.cdc.gov/mmwr/index.html,Journal.csv-ISSN
12,NATURE REVIEWS MICROBIOLOGY,1740-1526,1740-1534,https://www.nature.com/nrmicro,GoingPub-EISSN
13,NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741,https://www.nature.com/nri,GoingPub-EISSN
14,Foundations and Trends in Machine Learning,1935-8237,1935-8245,https://www.nowpublishers.com/mal,Journal.csv-ISSN
15,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,http://jama.ama-assn.org/,GoingPub-EISSN
16,World Psychiatry,1723-8617,2051-5545,https://onlinelibrary.wiley.com/journal/20515545,GoingPub-EISSN
17,NATURE MEDICINE,1078-8956,1546-170X,https://www.nature.com/nm,GoingPub-EISSN
18,ANNALS OF ONCOLOGY,0923-7534,1569-8041,http://annonc.oxfordjournals.org/,GoingPub-EISSN
19,CHEMICAL REVIEWS,0009-2665,1520-6890,http://pubs.acs.org/journal/chreay,GoingPub-EISSN
20,NATURE,0028-0836,1476-4687,https://www.nature.com/nature,GoingPub-EISSN
21,Nature Reviews Methods Primers,,2662-8449,https://www.nature.com/nrmp/,Journal.csv-EISSN
22,Nature Energy,2058-7546,2058-7546,https://www.nature.com/nenergy,GoingPub-ISSN
23,Nature Reviews Earth & Environment,,2662-138X,https://www.nature.com/natrevearthenviron/,Journal.csv-EISSN
24,CANCER CELL,1535-6108,1878-3686,http://www.cell.com/cancer-cell/home,GoingPub-EISSN
25,LANCET NEUROLOGY,1474-4422,1474-4465,http://www.thelancet.com/journals/laneur/issue/current,GoingPub-EISSN
26,Nature Reviews Gastroenterology & Hepatology,1759-5045,1759-5053,https://www.nature.com/nrgastro,GoingPub-EISSN
27,REVIEWS OF MODERN PHYSICS,0034-6861,1539-0756,http://journals.aps.org/rmp/,GoingPub-EISSN
28,CELL,0092-8674,1097-4172,http://www.cell.com/,GoingPub-EISSN
29,SCIENCE,0036-8075,1095-9203,http://www.sciencemag.org/,GoingPub-EISSN
29,Nature Reviews Physics,,2522-5820,https://www.nature.com/natrevphys,GoingPub-EISSN
31,Lancet Diabetes & Endocrinology,2213-8587,2213-8595,http://www.thelancet.com/journals/landia/onlinefirst,GoingPub-EISSN
32,eScience,,2667-1417,https://www.keaipublishing.com/en/journals/escience/,DOAJ-EISSN
32,Nature Catalysis,2520-1158,2520-1158,https://www.nature.com/natcatal,GoingPub-ISSN
34,JOURNAL OF CLINICAL ONCOLOGY,0732-183X,1527-7755,http://jco.ascopubs.org/,GoingPub-EISSN
35,Nature Reviews Cardiology,1759-5002,1759-5010,https://www.nature.com/nrcardio,GoingPub-EISSN
36,LANCET ONCOLOGY,1470-2045,1474-5488,http://www.thelancet.com/journals/lanonc/issue/current,GoingPub-EISSN
37,Signal Transduction and Targeted Therapy,2095-9907,2059-3635,http://www.nature.com/sigtrans/,GoingPub-EISSN
38,CHEMICAL SOCIETY REVIEWS,0306-0012,1460-4744,http://www.rsc.org/Publishing/Journals/cs/,GoingPub-EISSN
39,NATURE REVIEWS GENETICS,1471-0056,1471-0064,https://www.nature.com/nrg,GoingPub-EISSN
40,Lancet Respiratory Medicine,2213-2600,,http://www.thelancet.com/journals/lanres/onlinefirst,GoingPub-Name
41,Joule,2542-4351,2542-4351,http://www.journals.elsevier.com/joule,GoingPub-ISSN
42,EUROPEAN HEART JOURNAL,0195-668X,1522-9645,https://academic.oup.com/eurheartj,GoingPub-EISSN
42,Nature Nanotechnology,1748-3387,1748-3395,https://www.nature.com/nnano,GoingPub-EISSN
42,Nature Reviews Chemistry,,2397-3358,https://www.nature.com/natrevchem,GoingPub-EISSN
45,MMWR Surveillance Summaries,1545-8636,1545-8636,https://www.cdc.gov/mmwr/indss_2022.html,Journal.csv-ISSN
46,NATURE MATERIALS,1476-1122,1476-4660,https://www.nature.com/nmat,GoingPub-EISSN
47,LANCET INFECTIOUS DISEASES,1473-3099,1474-4457,http://www.thelancet.com/journals/laninf/issue/current,GoingPub-EISSN
48,NATURE METHODS,1548-7091,1548-7105,https://www.nature.com/nmeth,GoingPub-EISSN
49,CIRCULATION,0009-7322,1524-4539,http://circ.ahajournals.org/,GoingPub-EISSN
50,ADVANCES IN PHYSICS,0001-8732,1460-6976,https://www.tandfonline.com/journals/tadp20,Journal.csv-ISSN
51,Nature Electronics,2520-1131,2520-1131,https://www.nature.com/natelectron,GoingPub-ISSN
52,IEEE Communications Surveys and Tutorials,,1553-877X,http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=9739,GoingPub-EISSN
53,PROGRESS IN MATERIALS SCIENCE,0079-6425,1873-2208,http://www.journals.elsevier.com/progress-in-materials-science/,GoingPub-EISSN
54,Physiological Reviews,0031-9333,1522-1210,http://physrev.physiology.org/,GoingPub-EISSN
55,Innovation,2666-6758,2666-6758,https://www.cell.com/the-innovation,DOAJ-ISSN
56,NATURE BIOTECHNOLOGY,1087-0156,1546-1696,https://www.nature.com/nbt,GoingPub-EISSN
57,Energy & Environmental Science,1754-5692,1754-5706,http://pubs.rsc.org/en/journals/journalissues/ee,GoingPub-EISSN
58,Nature Photonics,1749-4885,1749-4893,https://www.nature.com/nphoton,GoingPub-EISSN
59,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,1873-216X,http://www.elsevier.com/wps/find/journaldescription.cws_home/474/description#description,GoingPub-EISSN
60,NATURE GENETICS,1061-4036,1546-1718,https://www.nature.com/ng,GoingPub-EISSN
61,Nano-Micro Letters,2311-6706,2150-5551,https://www.springer.com/40820,GoingPub-EISSN
61,MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,http://www.journals.elsevier.com/materials-science-and-engineering-r-reports/,GoingPub-EISSN
63,Nature Reviews Endocrinology,1759-5029,1759-5037,https://www.nature.com/nrendo,GoingPub-EISSN
64,Lancet Gastroenterology & Hepatology,,2468-1253,https://www.thelancet.com/journals/langas/home,GoingPub-EISSN
65,Lancet Psychiatry,2215-0374,,http://www.thelancet.com/journals/lanpsy/issue/current,GoingPub-Name
66,Cancer Discovery,2159-8274,2159-8290,http://cancerdiscovery.aacrjournals.org/,GoingPub-EISSN
67,Nature Climate Change,1758-678X,1758-6798,https://www.nature.com/nclimate,GoingPub-EISSN
68,Journal of Hematology & Oncology,,1756-8722,http://jhoonline.biomedcentral.com,GoingPub-EISSN
69,INTENSIVE CARE MEDICINE,0342-4642,1432-1238,https://www.springer.com/134,GoingPub-EISSN
70,Nature Reviews Rheumatology,1759-4790,1759-4804,https://www.nature.com/nrrheum,GoingPub-EISSN
71,Advanced Powder Materials,,2772-834X,https://www.keaipublishing.com/en/journals/advanced-powder-materials/,DOAJ-EISSN
71,Nature Reviews Nephrology,1759-5061,1759-507X,https://www.nature.com/nrneph,GoingPub-EISSN
71,NATURE REVIEWS NEUROSCIENCE,1471-003X,1471-0048,https://www.nature.com/nrn,GoingPub-EISSN
74,Electrochemical Energy Reviews,2520-8489,2520-8136,https://link.springer.com/journal/41918,Journal.csv-ISSN
75,Annual Review of Pathology-Mechanisms of Disease,1553-4006,1553-4014,http://www.annualreviews.org/loi/pathmechdis,GoingPub-EISSN
76,Nature Reviews Neurology,1759-4758,1759-4766,https://www.nature.com/nrneurol,GoingPub-EISSN
76,CELL RESEARCH,1001-0602,1748-7838,https://www.nature.com/cr,GoingPub-EISSN
78,NATURE IMMUNOLOGY,1529-2908,1529-2916,https://www.nature.com/ni,GoingPub-EISSN
78,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,1432-0754,https://www.springer.com/159,GoingPub-EISSN
80,Nature Biomedical Engineering,2157-846X,2157-846X,https://www.nature.com/natbiomedeng,GoingPub-ISSN
80,Cell Metabolism,1550-4131,1932-7420,http://www.cell.com/cell-metabolism/home,GoingPub-EISSN
80,Molecular Cancer,,1476-4598,http://molecular-cancer.biomedcentral.com,GoingPub-EISSN
83,ADVANCED MATERIALS,0935-9648,1521-4095,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095,GoingPub-EISSN
84,eLight,2097-1710,2662-8643,https://elight.springeropen.com/,DOAJ-ISSN
85,Annual Review of Immunology,0732-0582,1545-3278,http://www.annualreviews.org/loi/immunol,GoingPub-EISSN
86,JOURNAL OF HEPATOLOGY,0168-8278,1600-0641,http://www.elsevier.com/wps/find/journaldescription.cws_home/621507/description,GoingPub-EISSN
87,Gastroenterology,0016-5085,1528-0012,https://www.gastrojournal.org/,Journal.csv-ISSN
87,Living Reviews in Relativity,2367-3613,1433-8351,https://www.springer.com/41114,GoingPub-EISSN
87,Annual Review of Astronomy and Astrophysics,0066-4146,1545-4282,http://www.annualreviews.org/journal/astro,GoingPub-EISSN
90,Nature Sustainability,2398-9629,2398-9629,https://www.nature.com/natsustain,GoingPub-ISSN
91,Science Robotics,2470-9476,2470-9476,https://robotics.sciencemag.org/,GoingPub-ISSN
92,PROGRESS IN POLYMER SCIENCE,0079-6700,1873-1619,http://www.elsevier.com/wps/find/journaldescription.cws_home/418/description#description,GoingPub-EISSN
93,Immunity,1074-7613,1097-4180,http://www.cell.com/immunity/home,GoingPub-EISSN
94,Lancet Public Health,2468-2667,2468-2667,https://www.thelancet.com/journals/lanpub/home,GoingPub-ISSN
94,Annual Review of Fluid Mechanics,0066-4189,1545-4479,http://www.annualreviews.org/journal/fluid,GoingPub-EISSN
96,EUROPEAN UROLOGY,0302-2838,1873-7560,http://www.europeanurology.com/,GoingPub-EISSN
97,REVIEWS OF GEOPHYSICS,8755-1209,1944-9208,http://agupubs.onlinelibrary.wiley.com/agu/journal/10.1002/(ISSN)1944-9208/,GoingPub-EISSN
97,Advances in Optics and Photonics,1943-8206,,http://www.opticsinfobase.org/aop/home.cfm,GoingPub-Name
99,JAMA Pediatrics,2168-6203,2168-6211,http://archpedi.jamanetwork.com/journal.aspx,GoingPub-EISSN
100,FUNGAL DIVERSITY,1560-2745,1878-9129,https://www.springer.com/13225,GoingPub-EISSN
100,Interdisciplinary Materials,2767-4401,2767-441X,https://onlinelibrary.wiley.com/journal/2767441x,DOAJ-ISSN
