q1_name,df_id,df_name,is_oa
CA-A CANCER JOURNAL FOR CLINICIANS,https://openalex.org/S126094547,CA A Cancer Journal for Clinicians,True
NATURE REVIEWS DRUG DISCOVERY,https://openalex.org/S186543748,Nature Reviews Drug Discovery,False
LANCET,https://openalex.org/S49861241,The Lancet,False
NEW ENGLAND JOURNAL OF MEDICINE,https://openalex.org/S62468778,New England Journal of Medicine,False
NATURE REVIEWS MOLECULAR CELL BIOLOGY,https://openalex.org/S196724125,Nature Reviews Molecular Cell Biology,False
Nature Reviews Clinical Oncology,https://openalex.org/S41981144,Nature Reviews Clinical Oncology,False
Nature Reviews Materials,https://openalex.org/S2764917516,Nature Reviews Materials,False
Nature Reviews Disease Primers,https://openalex.org/S4210201506,Nature Reviews Disease Primers,False
NATURE REVIEWS CANCER,https://openalex.org/S160464432,Nature reviews. Cancer,False
MMWR Recommendations and Reports,https://openalex.org/S4210169956,MMWR Recommendations and Reports,True
NATURE REVIEWS MICROBIOLOGY,https://openalex.org/S56802129,Nature Reviews Microbiology,False
NATURE REVIEWS IMMUNOLOGY,https://openalex.org/S93373720,Nature reviews. Immunology,False
Foundations and Trends in Machine Learning,https://openalex.org/S4210188176,Foundations and Trends® in Machine Learning,False
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,https://openalex.org/S172573765,JAMA,False
World Psychiatry,https://openalex.org/S183644930,World Psychiatry,False
NATURE MEDICINE,https://openalex.org/S203256638,Nature Medicine,False
ANNALS OF ONCOLOGY,https://openalex.org/S41454044,Annals of Oncology,False
CHEMICAL REVIEWS,https://openalex.org/S41143188,Chemical Reviews,False
NATURE,https://openalex.org/S137773608,Nature,False
Nature Reviews Methods Primers,https://openalex.org/S4210231269,Nature Reviews Methods Primers,False
Nature Energy,https://openalex.org/S2764528046,Nature Energy,False
Nature Reviews Earth & Environment,https://openalex.org/S4210178125,Nature Reviews Earth & Environment,False
CANCER CELL,https://openalex.org/S25671836,Cancer Cell,False
LANCET NEUROLOGY,https://openalex.org/S70053155,The Lancet Neurology,False
Nature Reviews Gastroenterology & Hepatology,https://openalex.org/S120397320,Nature Reviews Gastroenterology & Hepatology,False
REVIEWS OF MODERN PHYSICS,https://openalex.org/S73260565,Reviews of Modern Physics,False
CELL,https://openalex.org/S110447773,Cell,False
SCIENCE,https://openalex.org/S3880285,Science,False
Nature Reviews Physics,https://openalex.org/S4210234670,Nature Reviews Physics,False
Lancet Diabetes & Endocrinology,https://openalex.org/S2529869117,The Lancet Diabetes & Endocrinology,False
eScience,https://openalex.org/S4210209524,eScience,True
Nature Catalysis,https://openalex.org/S4210229375,Nature Catalysis,False
JOURNAL OF CLINICAL ONCOLOGY,https://openalex.org/S15137598,Journal of Clinical Oncology,False
Nature Reviews Cardiology,https://openalex.org/S62674001,Nature Reviews Cardiology,False
LANCET ONCOLOGY,https://openalex.org/S116900674,The Lancet Oncology,False
Signal Transduction and Targeted Therapy,https://openalex.org/S2739142469,Signal Transduction and Targeted Therapy,True
CHEMICAL SOCIETY REVIEWS,https://openalex.org/S316438,Chemical Society Reviews,False
NATURE REVIEWS GENETICS,https://openalex.org/S8553189,Nature Reviews Genetics,False
Lancet Respiratory Medicine,https://openalex.org/S4210192742,The Lancet Respiratory Medicine,False
Joule,https://openalex.org/S2898305631,Joule,False
EUROPEAN HEART JOURNAL,https://openalex.org/S181568219,European Heart Journal,False
Nature Nanotechnology,https://openalex.org/S7822423,Nature Nanotechnology,False
Nature Reviews Chemistry,https://openalex.org/S4210174246,Nature Reviews Chemistry,False
MMWR Surveillance Summaries,https://openalex.org/S4210189843,MMWR Surveillance Summaries,True
NATURE MATERIALS,https://openalex.org/S103895331,Nature Materials,False
LANCET INFECTIOUS DISEASES,https://openalex.org/S23772524,The Lancet Infectious Diseases,False
NATURE METHODS,https://openalex.org/S127827428,Nature Methods,False
CIRCULATION,https://openalex.org/S116251202,Circulation,False
ADVANCES IN PHYSICS,https://openalex.org/S137691401,Advances In Physics,False
Nature Electronics,https://openalex.org/S4210239724,Nature Electronics,False
PROGRESS IN MATERIALS SCIENCE,https://openalex.org/S88404446,Progress in Materials Science,False
Physiological Reviews,https://openalex.org/S203035050,Physiological Reviews,False
Innovation,https://openalex.org/S4210236180,The Innovation,True
NATURE BIOTECHNOLOGY,https://openalex.org/S106963461,Nature Biotechnology,False
Energy & Environmental Science,https://openalex.org/S117082959,Energy & Environmental Science,False
Nature Photonics,https://openalex.org/S120392215,Nature Photonics,False
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,https://openalex.org/S65236890,Progress in Energy and Combustion Science,False
NATURE GENETICS,https://openalex.org/S137905309,Nature Genetics,False
Nano-Micro Letters,https://openalex.org/S9070373,Nano-Micro Letters,True
MATERIALS SCIENCE & ENGINEERING R-REPORTS,https://openalex.org/S1018252914,Materials Science and Engineering R Reports,False
Nature Reviews Endocrinology,https://openalex.org/S116269268,Nature Reviews Endocrinology,False
Lancet Psychiatry,https://openalex.org/S2531556786,The Lancet Psychiatry,False
Cancer Discovery,https://openalex.org/S2486275289,Cancer Discovery,False
Nature Climate Change,https://openalex.org/S183584863,Nature Climate Change,False
Journal of Hematology & Oncology,https://openalex.org/S46507181,Journal of Hematology & Oncology,True
INTENSIVE CARE MEDICINE,https://openalex.org/S198804558,Intensive Care Medicine,False
Nature Reviews Rheumatology,https://openalex.org/S78310130,Nature Reviews Rheumatology,False
Advanced Powder Materials,https://openalex.org/S4210231862,Advanced Powder Materials,True
Nature Reviews Nephrology,https://openalex.org/S18618073,Nature Reviews Nephrology,False
NATURE REVIEWS NEUROSCIENCE,https://openalex.org/S26843219,Nature reviews. Neuroscience,False
Electrochemical Energy Reviews,https://openalex.org/S4210169386,Electrochemical Energy Reviews,False
Annual Review of Pathology-Mechanisms of Disease,https://openalex.org/S188288600,Annual Review of Pathology Mechanisms of Disease,False
Nature Reviews Neurology,https://openalex.org/S22232893,Nature Reviews Neurology,False
CELL RESEARCH,https://openalex.org/S128296271,Cell Research,False
