year,half_year,has_ai_policy,count,mean,ci_lower,ci_upper
2021,H1,False,11852,11.87487343908201,11.64394409303028,12.105802785133742
2021,H1,True,13057,14.966148426131577,14.713863804648367,15.218433047614786
2021,H2,False,9970,13.45667001003009,13.156774737246062,13.756565282814117
2021,H2,True,15691,15.987381301382959,15.710746944834273,16.264015657931644
2022,H1,False,12396,9.97434656340755,9.748778234523746,10.199914892291355
2022,H1,True,13415,14.102497204621692,13.833019555153742,14.371974854089641
2022,H2,False,8207,11.578408675520897,11.23006818747561,11.926749163566186
2022,H2,True,13033,13.705363308524515,13.417596287755945,13.993130329293084
2023,H1,False,11894,7.580797040524634,7.353748572952216,7.807845508097052
2023,H1,True,9653,12.408577644255672,12.090204505538347,12.726950782972997
2023,H2,False,7124,11.214766984839978,10.838659723359,11.590874246320956
2023,H2,True,9899,14.991110213152844,14.592915429682696,15.389304996622991
2024,H1,False,7487,14.425671163349806,13.978876879290388,14.872465447409224
2024,H1,True,11046,19.96279196089082,19.550951554060404,20.374632367721233
2024,H2,False,3240,20.262037037037036,19.451190192055478,21.072883882018594
2024,H2,True,4039,21.385986630354047,20.667037049059964,22.10493621164813
2025,H1,False,895,26.417877094972066,24.908347146404065,27.927407043540068
2025,H1,True,1680,28.845833333333335,27.609921745991866,30.081744920674804
