year,half_year,has_ai_policy,domain_list,count,mean,ci_lower,ci_upper
2021,H1,False,Health Sciences,68116,0.5217716835985672,0.5180192646693509,0.525521647001634
2021,H1,False,Life Sciences,47735,0.531622499214413,0.5271437295677442,0.5360961796496627
2021,H1,False,Physical Sciences,70944,0.42581472710870544,0.4221803046270438,0.4294571830883581
2021,H1,False,Social Sciences,30665,0.5579324963313224,0.552367030588395,0.5634834492796053
2021,H1,True,Health Sciences,137755,0.5446263293528365,0.5419952912735683,0.5472548785870374
2021,H1,True,Life Sciences,105799,0.5790035822644827,0.5760257653196971,0.5819756623310565
2021,H1,True,Physical Sciences,130864,0.5409814769531728,0.5382804343649583,0.5436801136232583
2021,H1,True,Social Sciences,55081,0.6062344547121512,0.6021469357833504,0.6103071566687213
2021,H2,False,Health Sciences,58474,0.5169990081061668,0.5129477395699992,0.5210480432839203
2021,H2,False,Life Sciences,37402,0.5517352013261323,0.546690111725192,0.5567696648516939
2021,H2,False,Physical Sciences,54272,0.49585421580188677,0.4916482127094756,0.5000608057432107
2021,H2,False,Social Sciences,25355,0.5589824492210609,0.5528625341654323,0.5650844944816364
2021,H2,True,Health Sciences,138986,0.5561207603643532,0.5535072066540244,0.5587312118970312
2021,H2,True,Life Sciences,104207,0.5823793027339814,0.5793820313573973,0.5853705007175346
2021,H2,True,Physical Sciences,130159,0.5494587389270047,0.5467543201809648,0.5521602383497295
2021,H2,True,Social Sciences,54922,0.6236298750955901,0.6195695801674317,0.6276728769223021
2022,H1,False,Health Sciences,68813,0.5469315390987168,0.5432097219026444,0.5506481167176445
2022,H1,False,Life Sciences,46251,0.5519232016605047,0.5473869380531596,0.5564508408369911
2022,H1,False,Physical Sciences,70683,0.4577762686926135,0.45410578442244875,0.46145134223913375
2022,H1,False,Social Sciences,28624,0.5760550586920067,0.570320305102254,0.5817694012160847
2022,H1,True,Health Sciences,138419,0.5562603399822279,0.5536415150980941,0.5588760422346196
2022,H1,True,Life Sciences,114377,0.5910454024847653,0.5881931661880332,0.5938915232964216
2022,H1,True,Physical Sciences,144344,0.5559912431413845,0.5534266105199074,0.5585528956274793
2022,H1,True,Social Sciences,53736,0.6283869286884025,0.6242921116297004,0.6324633909069606
2022,H2,False,Health Sciences,53656,0.5208550767854481,0.5166267485280831,0.5250804190511851
2022,H2,False,Life Sciences,38478,0.5569676178595561,0.5519988295021545,0.5619250326054139
2022,H2,False,Physical Sciences,56062,0.5069565837822411,0.5028177602918261,0.5110944539852554
2022,H2,False,Social Sciences,23539,0.5691405752155997,0.5628037636870072,0.5754548235652323
2022,H2,True,Health Sciences,140972,0.5638850268138353,0.5612946462219801,0.5664719257921429
2022,H2,True,Life Sciences,112151,0.5855676721562892,0.5826816748349886,0.588447807854771
2022,H2,True,Physical Sciences,140065,0.5597900974547532,0.557188777526506,0.562388137835674
2022,H2,True,Social Sciences,53682,0.6322230915390634,0.6281346954090719,0.6362925653779075
2023,H1,False,Health Sciences,70920,0.5415820642978003,0.5379127776741301,0.5452468464901143
2023,H1,False,Life Sciences,48301,0.5541707211030827,0.5497338080035641,0.5585990183128429
2023,H1,False,Physical Sciences,75980,0.46208212687549355,0.4585391347552591,0.4656289529674087
2023,H1,False,Social Sciences,29622,0.5528998717169671,0.5472314186462034,0.5585546061779757
2023,H1,True,Health Sciences,148913,0.5669619173611438,0.5644435779425727,0.5694768020804937
2023,H1,True,Life Sciences,123184,0.598933303026367,0.5961932987165622,0.6016671371134442
2023,H1,True,Physical Sciences,161700,0.5763450834879407,0.5739348318430029,0.5787517078041553
2023,H1,True,Social Sciences,56757,0.6391986891484751,0.6352385425187701,0.6431399944073155
2023,H2,False,Health Sciences,59549,0.5400930326285915,0.5360876249645009,0.5440932678867964
2023,H2,False,Life Sciences,42430,0.5885458402074004,0.5838556947340786,0.5932199538916026
2023,H2,False,Physical Sciences,61539,0.5595638538162792,0.5556379712678857,0.5634823005009323
2023,H2,False,Social Sciences,25388,0.5670001575547503,0.5608955357420975,0.573084506844306
2023,H2,True,Health Sciences,143482,0.5891261621666829,0.5865781057423648,0.5916694463503628
2023,H2,True,Life Sciences,107537,0.6250778801714759,0.6221800721414152,0.6279667524052468
2023,H2,True,Physical Sciences,148359,0.6277273370675187,0.6252642173968839,0.6301838424228601
2023,H2,True,Social Sciences,58839,0.6724961335168851,0.6686929774162184,0.6762767673607334
2024,H1,False,Health Sciences,71769,0.5696609956945199,0.5660349886789192,0.5732795458548273
2024,H1,False,Life Sciences,51671,0.5986143097675679,0.5943806464087168,0.6028333113374552
2024,H1,False,Physical Sciences,83696,0.5273131332441215,0.5239296206586143,0.530694138721496
2024,H1,False,Social Sciences,28177,0.6121659509529048,0.6064617357706638,0.6178395864321019
2024,H1,True,Health Sciences,152588,0.5994049335465437,0.5969437872563267,0.6018610748514989
2024,H1,True,Life Sciences,121320,0.6534207055720409,0.6507380765384932,0.6560936191314392
2024,H1,True,Physical Sciences,166479,0.6636452645679035,0.6613719857707051,0.665910991397109
2024,H1,True,Social Sciences,60799,0.6894521291468609,0.6857622184958876,0.693118101030002
2024,H2,False,Health Sciences,52662,0.5979453875659868,0.5937507176257131,0.6021257691872064
2024,H2,False,Life Sciences,37959,0.638004162385732,0.6331558922484284,0.642824503248697
2024,H2,False,Physical Sciences,57743,0.6093552465233881,0.6053686326165882,0.6133273112820187
