count,mean,ci_lower,ci_upper,ci_width,fisher_info,se,ci_method,warning,year,half_year,domain_list
13147,0.04867280259538997,0.042808182693573456,0.05529444901148111,0.012486266317907654,98987.62690419362,0.0031784072569113167,fisher_logit,none,2022,H2,
8404,0.0456211438917548,0.03802098945290086,0.054654207319667636,0.016633217866766775,56035.306907993516,0.004224439770032308,fisher_logit,none,2023,H1,
41692,0.04636573836019488,0.0432164972734715,0.049732540054882,0.0065160427814104985,362380.489264609,0.0016611834531048914,fisher_logit,none,2022,H1,
6220,0.08432162860124841,0.0725972169094794,0.09773996997382006,0.02514275306434066,24421.660078121087,0.006399004402604531,fisher_logit,none,2023,H2,
85819,0.03680555423058289,0.03477270265653286,0.038952452621457204,0.004179749964924345,880341.5654923838,0.001065796761279415,fisher_logit,none,2021,H1,Social Sciences
82429,0.039042493079663926,0.036902893264310635,0.04130082538072169,0.004397932116411055,795140.8374000764,0.0011214449783723173,fisher_logit,none,2022,H1,Social Sciences
80297,0.03795462803685865,0.03582404599905188,0.04020663927666122,0.004382593277609335,800756.5714905907,0.0011175056930321395,fisher_logit,none,2021,H2,Social Sciences
153567,0.07020020233505862,0.06823456122976052,0.07221807912133993,0.003983517891579413,968511.1239802352,0.001016126302799831,fisher_logit,none,2021,H1,Life Sciences
183,0.17531974039430978,0.10727969512037326,0.2733017609367899,0.1660220658164166,564.7143528655934,0.04208095497334602,fisher_logit,none,2025,H2,
77238,0.04044064709490982,0.03821000905767147,0.042795711843070024,0.004585702785398556,731360.773476224,0.0011693221283260284,fisher_logit,none,2022,H2,Social Sciences
35803,0.15487107645369455,0.14717109827284006,0.1628969669681408,0.015725868695300738,62149.684269084966,0.004011257449495654,fisher_logit,none,2025,H1,
84383,0.06506771572706604,0.06227267273078564,0.06797911677793468,0.00570644404714904,472092.53291434655,0.0014554136185609776,fisher_logit,none,2023,H2,Social Sciences
141624,0.07256930184763156,0.07049453629922406,0.07470022361082988,0.004205687311605824,868893.2883026212,0.001072795093859337,fisher_logit,none,2021,H2,Life Sciences
72661,0.11797157404301835,0.11398041732781874,0.12208322912921939,0.008102811801400642,234081.49451096964,0.0020668856936323834,fisher_logit,none,2024,H2,Social Sciences
160684,0.07455777707764034,0.07259886324087884,0.0765651839148548,0.003966320673975954,976901.080281444,0.001011753475847878,fisher_logit,none,2022,H1,Life Sciences
102601,0.12826878745580608,0.12380986013147156,0.13286394913153868,0.009054089000067114,187475.58397872685,0.0023095514551407454,fisher_logit,none,2025,H1,Social Sciences
