count,mean,ci_lower,ci_upper,ci_width,year,half_year,is_oa
238987,0.1901885916181754,0.1874203100687987,0.1929880508227538,0.005567740753955,2025,H1,True
216211,0.0457458095148762,0.0443644584939855,0.0471680479851729,0.0028035894911873,2022,H2,False
272843,0.1739533393897306,0.1716356027665474,0.1762957132898637,0.0046601105233163,2024,H2,True
233897,0.0977543756600669,0.0958491305277273,0.0996933165925087,0.0038441860647814,2023,H2,True
300830,0.1361568186899821,0.1341769208367081,0.1381612697472587,0.0039843489105506,2024,H1,True
238855,0.0701607383654912,0.0684696888909583,0.0718903298081689,0.0034206409172106,2023,H2,False
464514,0.1490742960600338,0.1464714007648107,0.1517152246653797,0.005243823900569,2025,H1,False
279540,0.1300379120682319,0.1279650432664203,0.1321392706361008,0.0041742273696805,2024,H2,False
239544,0.0547055563604902,0.0533046277683962,0.0561411201135711,0.0028364923451749,2022,H2,True
269885,0.0463102442390207,0.0450704871285609,0.0475824041918053,0.0025119170632443,2022,H1,False
249043,0.0605875885497998,0.0591102147559061,0.0620994500858819,0.0029892353299758,2023,H1,True
317307,0.0516525138735799,0.0504765759091794,0.0528543223758406,0.0023777464666611,2021,H1,True
294246,0.0513131058065166,0.0500920176017792,0.052562313264408,0.0024702956626288,2021,H2,True
300829,0.0435153672405451,0.0423689121957268,0.0446913963214501,0.0023224841257233,2021,H2,False
368457,0.1030970452279003,0.1014600947690767,0.1047573270438737,0.003297232274797,2024,H1,False
249569,0.053944451237071,0.0525816739511192,0.0553404850072873,0.002758811056168,2022,H1,True
274941,0.0521527515114058,0.0508161224884095,0.0535225557472493,0.0027064332588397,2023,H1,False
425340,0.0430787850270787,0.0421120470617262,0.0440666947904095,0.0019546477286832,2021,H1,False
