count,mean,ci_lower,ci_upper,year,half_year,is_oa,country_list
14,0.0,1.3877787807814457e-17,0.2153108027376358,2021,H1,False,BB
30,0.0,0.0,0.11351339317396876,2021,H1,False,AZ
623,0.060151742295121366,0.04403983965350061,0.08165466987790088,2021,H1,False,AE
40,0.17572274103457233,0.087951994737287,0.3203208726566936,2021,H1,False,BA
12,0.0,2.7755575615628914e-17,0.24249400665524085,2021,H1,False,AF
49,0.0,6.938893903907228e-18,0.07269781922049637,2021,H1,False,AM
942,0.02465788286376477,0.016518506586398467,0.03665838650384393,2021,H1,False,AR
25,0.0,1.3877787807814457e-17,0.13319225093904846,2021,H1,False,BF
3096,0.023519913633439537,0.018742890864256297,0.029477886238266485,2021,H1,False,AT
38,0.0,0.0,0.09180986822558396,2021,H1,False,AL
358,0.06583923300380579,0.0444830731975656,0.0964138539195747,2021,H1,False,BD
25,0.0,1.3877787807814457e-17,0.13319225093904846,2021,H1,False,BH
20,0.0,0.0,0.16112515805281938,2021,H1,False,BI
34,0.028015782565168776,0.004795276604104157,0.147062823326838,2021,H1,False,BJ
30,0.06374783414859038,0.017209903551100414,0.2093266919966533,2021,H1,False,BN
36,0.0,0.0,0.09641862859446367,2021,H1,False,BO
13,0.0,0.0,0.22809537235419838,2021,H1,False,BS
32,0.0,0.0,0.1071791982550706,2021,H1,False,BW
247,0.03808238412325126,0.02043719259252323,0.06987545621795047,2021,H1,False,BG
100,0.07969213222360139,0.040881689322005005,0.14959989183113412,2021,H1,False,BY
13,0.0,0.0,0.22809537235419838,2021,H1,False,CG
27,0.04052211870134953,0.007652376676666864,0.18785242306779915,2021,H1,False,CD
23,0.0941726594464947,0.02742619705789777,0.27708039514458654,2021,H1,False,CI
77,0.047647790264116814,0.01797348793653431,0.12031222195105634,2021,H1,False,CM
1091,0.02259427396731791,0.015308820278026122,0.033229864651409924,2021,H1,False,CL
58,0.06724123324603173,0.026162504328984454,0.16208405549082058,2021,H1,False,CU
84,0.07038383365066773,0.0324764675836083,0.14586691473639984,2021,H1,False,CR
310,0.038697469279366264,0.02227094089944864,0.06641679933248625,2021,H1,False,CY
4109,0.04026057551228944,0.03466715270164411,0.04671280607669902,2021,H1,False,BE
613,0.020184483617332043,0.011679422234303197,0.03466576959213202,2021,H1,False,CO
19,0.0,0.0,0.16817922405261626,2021,H1,False,DO
179,0.015903228420901395,0.0052832715509361465,0.04686471860881895,2021,H1,False,DZ
286,0.07694145711568176,0.05135985601132902,0.11373720251702651,2021,H1,False,EE
163,0.014363433199763638,0.004308494135423193,0.046781553290845226,2021,H1,False,EC
29,0.05878319926255877,0.01481417185077187,0.2059703072282632,2021,H1,False,FJ
168,0.015028007030537385,0.004693153506928761,0.04704563667775977,2021,H1,False,ET
14,0.0,1.3877787807814457e-17,0.2153108027376358,2021,H1,False,GA
4133,0.040547212089725296,0.03494829931279869,0.04699941788374208,2021,H1,False,BR
1655,0.03366428031120479,0.025997779384694615,0.04349061327504156,2021,H1,False,CZ
1070,0.058122308500733744,0.04561989059280683,0.07378618928892976,2021,H1,False,EG
17,0.0,0.0,0.1843181350088518,2021,H1,False,GD
16,0.1965893745215953,0.07086119377314345,0.43980281016680023,2021,H1,False,GF
13,0.0,0.0,0.22809537235419838,2021,H1,False,GL
17,0.0,0.0,0.1843181350088518,2021,H1,False,GM
14,0.0,1.3877787807814457e-17,0.2153108027376358,2021,H1,False,GP
69,0.010430328170816832,0.0014505041193693669,0.07104727659183421,2021,H1,False,GE
44,0.0,0.0,0.08029560375848066,2021,H1,False,GT
20,0.0,0.0,0.16112515805281938,2021,H1,False,HN
196,0.06353590302648722,0.03708170402319768,0.10676999209993046,2021,H1,False,GH
473,0.08855252784033729,0.06615338804983367,0.1175809507686327,2021,H1,False,ID
378,0.029413457265378293,0.016551722456441282,0.05174372297230115,2021,H1,False,HR
166,0.050053370489325,0.02589357480916591,0.09456687086299054,2021,H1,False,IQ
203,0.03686775646852924,0.01838683137876312,0.07255126224212326,2021,H1,False,IS
19,0.0,0.0,0.16817922405261626,2021,H1,False,JM
11,0.3830875459928904,0.16417753140459793,0.6625191552735303,2021,H1,False,KN
15,0.09367521875850755,0.021042453499121455,0.3319936594022628,2021,H1,False,KG
44,0.0045896096701423346,0.00021885863770219893,0.08851891350210345,2021,H1,False,KH
233,0.03713030497828412,0.019414074990743678,0.06986159931838215,2021,H1,False,JO
109,0.0,0.0,0.034042973751325124,2021,H1,False,KW
31,0.06123081199848982,0.01645192031697401,0.20276304435792739,2021,H1,False,LI
22,0.0386768815087913,0.006111020634290254,0.2083986030500295,2021,H1,False,LY
23,0.0,0.0,0.14311661845042686,2021,H1,False,MC
27,0.0,0.0,0.12455502974186705,2021,H1,False,ME
34,0.0,0.0,0.10151455415332376,2021,H1,False,ML
25,0.0,1.3877787807814457e-17,0.13319225093904846,2021,H1,False,MG
30,0.1511299321333588,0.0637239981587786,0.31773871646868934,2021,H1,False,MM
19,0.0,0.0,0.16817922405261626,2021,H1,False,MQ
24,0.09385306824489875,0.027930757072557807,0.2718526037851538,2021,H1,False,MN
30,0.11209557610581175,0.041076397792652874,0.2711794491858163,2021,H1,False,MD
106,0.022472027935327748,0.006812746295753631,0.071532250533097,2021,H1,False,LK
11,0.11539261712666463,0.02433488823311797,0.4055484860740416,2021,H1,False,MS
261,0.05143693347143815,0.03055645005440333,0.08533000605201753,2021,H1,False,KE
60,0.0,0.0,0.06017185214208986,2021,H1,False,MW
29,0.06645967639882114,0.018030745639622453,0.21631085574430442,2021,H1,False,MU
109,0.031226301143554056,0.011344640083683008,0.08302486365438827,2021,H1,False,KZ
80,0.081528498152462,0.03906961113057151,0.16233454813150663,2021,H1,False,MT
59,0.04017610715637352,0.012183412201331116,0.12438629235683249,2021,H1,False,MK
2801,0.049367331981521045,0.04194363716026283,0.05802538308484901,2021,H1,False,FI
43,0.0,0.0,0.08200980322579117,2021,H1,False,MZ
1084,0.03373099631897548,0.02452365182572367,0.046231381654683275,2021,H1,False,HU
14,0.01402449650029324,0.000652126611510484,0.23666841792777324,2021,H1,False,NC
15,0.0,0.0,0.20388330103584862,2021,H1,False,NI
122,0.051533933904966356,0.024242440256125763,0.10620533782387859,2021,H1,False,LV
24,0.05259117514564352,0.010952141339095195,0.21769375213518594,2021,H1,False,NA
226,0.03770829293353223,0.01962450370411929,0.07124512153152694,2021,H1,False,LT
