count,mean,ci_lower,ci_upper,ci_width,year,half_year,is_oa,has_ai_policy
61300,0.0470188820519906,0.0444749357057708,0.0497007722808683,0.0052258365750975,2022,H2,True,False
73565,0.0414667686741219,0.0392155660438381,0.0438413065288473,0.0046257404850091,2022,H2,False,False
80469,0.0474972525376538,0.0452745233482544,0.0498234107177791,0.0045488873695247,2022,H1,True,False
67685,0.0513016812817847,0.0487276356860304,0.0540039819693925,0.005276346283362,2023,H1,True,False
67188,0.072691987469898,0.0696572659826461,0.0758481422028291,0.006190876220183,2023,H2,True,False
74619,0.0591037196307833,0.0562595060692183,0.0620822641671787,0.0058227580979603,2023,H2,False,False
110912,0.0406445186287124,0.0388192512492269,0.0425518099977174,0.0037325587484904,2022,H1,False,False
137321,0.0458634863348107,0.0441796619292096,0.0476082900079169,0.0034286280787072,2021,H1,True,False
120932,0.0438095128655187,0.0420548994295453,0.0456338449107135,0.0035789454811682,2021,H2,True,False
104255,0.0430365375659338,0.0410442276172612,0.0451210050430903,0.004076777425829,2023,H1,False,False
138556,0.0387683381562759,0.0371496130774737,0.0404546326847357,0.003305019607262,2021,H2,False,False
96423,0.14141895213992,0.1379119266301941,0.1450001593510977,0.0070882327209035,2024,H2,True,False
72125,0.1588682900395939,0.154189623052057,0.1636614543443825,0.0094718312923254,2025,H1,True,False
106910,0.110362667095183,0.1073143059242573,0.1134866114319737,0.0061723055077164,2024,H1,True,False
145653,0.1284700770339859,0.1244846345573193,0.1325637959769429,0.0080791614196235,2025,H1,False,False
142646,0.0479479931466559,0.0462223000042049,0.0497347548227467,0.0035124548185417,2022,H2,False,True
131758,0.1227870748640003,0.1198496935948756,0.1257861593645908,0.0059364657697151,2024,H2,False,False
158973,0.0502106996983718,0.0485539858383034,0.051920857599167,0.0033668717608636,2022,H1,False,True
162273,0.0473656289024185,0.045772472899326,0.0490113881558684,0.0032389152565424,2021,H2,False,True
185161,0.0459763821781608,0.0444905449250458,0.047509374204318,0.0030188292792722,2021,H1,False,True
176420,0.1940811999228885,0.1910484796695214,0.1971503291921001,0.0061018495225786,2024,H2,True,True
173314,0.0567433474007941,0.0550794595629561,0.0584543899717671,0.0033749304088109,2021,H2,True,True
169100,0.057175545176757,0.0554735978442166,0.0589264511533253,0.0034528533091086,2022,H1,True,True
179986,0.0561858979807093,0.0545694829319083,0.0578472636213714,0.0032777806894631,2021,H1,True,True
170686,0.0574910776740592,0.0557418253895042,0.0592917769213526,0.0035499515318484,2023,H1,False,True
166862,0.2044459751382867,0.2010458858674969,0.2078886045799016,0.0068427187124046,2025,H1,True,True
164236,0.0749773941350462,0.0729069836023075,0.0771017104038147,0.0041947268015071,2023,H2,False,True
193920,0.1510850958411905,0.1485255199100492,0.1536808202770189,0.0051553003669697,2024,H1,True,True
164366,0.0935794477588084,0.0911818311932783,0.0960334475193157,0.0048516163260374,2024,H1,False,False
181358,0.0642220458308688,0.062444355082364,0.066046779469612,0.003602424387248,2023,H1,True,True
166709,0.1092638837170814,0.1068891279693534,0.1116848017055026,0.0047956737361492,2023,H2,True,True
178244,0.057494240955889,0.0558345024368914,0.059200223411726,0.0033657209748345,2022,H2,True,True
204091,0.1103415861914046,0.1081232572953991,0.1125996818105202,0.0044764245151211,2024,H1,False,True
240179,0.040751687539237,0.0394923905274343,0.0420493819248464,0.0025569913974121,2021,H1,False,False
147782,0.1366280944498506,0.1337252334022647,0.1395838162350171,0.0058585828327524,2024,H2,False,True
318861,0.1619474217416986,0.1585498992975884,0.1654034376045287,0.0068535383069403,2025,H1,False,True
