count,mean,ci_lower,ci_upper,ci_width,year,half_year,policy_category
2533,0.0495641454013737,0.0377225999690376,0.0648722882255704,0.0271496882565328,2021,H1,Strict Prohibition
1267,0.0041010392393877,0.000772356554449,0.0214673876715188,0.0206950311170697,2021,H1,Open
1253,0.010160624378086,0.0041419266087171,0.0247081919540098,0.0205662653452926,2021,H2,Open
2302,0.0407065166590491,0.0293110985651613,0.0562753444817816,0.0269642459166203,2021,H2,Strict Prohibition
1140,0.0121153472481898,0.0051361186800556,0.028308462961018,0.0231723442809623,2022,H1,Open
1954,0.0415153894703859,0.0292243573959951,0.0586633440503417,0.0294389866543466,2022,H1,Strict Prohibition
1574,0.0519099553215831,0.0371933494752679,0.0720140643325207,0.0348207148572527,2022,H2,Strict Prohibition
1083,0.0042395015622844,0.0007372833843824,0.0239786304761629,0.0232413470917804,2022,H2,Open
6643,0.0507313240698351,0.0427802029557541,0.0600675045748764,0.0172873016191223,2022,H2,Unknown
1105,0.009436664159036,0.0028955594001547,0.0303051041913963,0.0274095447912415,2023,H1,Open
1918,0.0628528742777978,0.047379547637749,0.0829395520195675,0.0355600043818184,2023,H1,Strict Prohibition
2794,0.040282605278196,0.0297040602371106,0.0544172163632989,0.0247131561261882,2023,H1,Unknown
30157,0.0470575569650161,0.0434036858697163,0.0510026234648726,0.0075989375951563,2022,H1,Unknown
1435,0.0808122460649184,0.0601244104703552,0.1078019694295239,0.0476775589591687,2023,H2,Strict Prohibition
1583,0.06150354245116,0.0447000100509903,0.0840679388873662,0.0393679288363759,2023,H2,Unknown
1141,0.0080028034000655,0.0022438973513413,0.0281251694772154,0.025881272125874,2023,H2,Open
2155,0.1225769163554531,0.1023480136806291,0.1461530494185625,0.0438050357379334,2024,H1,Strict Prohibition
1284,0.0267169602903115,0.0143867615309298,0.0490884570335635,0.0347016955026336,2024,H1,Open
1487,0.1640777104266563,0.1368510708016707,0.1954942729581445,0.0586432021564737,2024,H2,Strict Prohibition
1295,0.0283964432034954,0.0161987758836418,0.0493185048698132,0.0331197289861713,2024,H2,Open
1948,0.1540096565866448,0.1257287459674115,0.187289201755185,0.0615604557877734,2025,H1,Strict Prohibition
1135,0.037520784363304,0.0223569401953682,0.0623141151645427,0.0399571749691745,2025,H1,Open
55364,0.1675791357860296,0.1592732615990598,0.1762273577748218,0.0169540961757619,2025,H1,Unknown
85555,0.1128859056765939,0.1095349979951847,0.116325933147535,0.0067909351523502,2024,H1,Unknown
121080,0.0403685937834542,0.038649349478952,0.0421609614783715,0.0035116119994194,2021,H2,Unknown
176639,0.0419273420157976,0.0404429304921764,0.0434637692954076,0.0030208388032312,2021,H1,Not Mentioned
136161,0.1145088309125208,0.1116899802955803,0.1173894227195778,0.0056994424239974,2024,H2,Not Mentioned
162414,0.1379336452299659,0.134660250963777,0.1412736202631586,0.0066133692993816,2025,H1,Not Mentioned
128222,0.0437622962580144,0.0420257742005108,0.0455671590593179,0.003541384858807,2022,H2,Not Mentioned
138408,0.0419362022365802,0.0402843630343291,0.0436526934115503,0.0033683303772212,2021,H2,Not Mentioned
92020,0.154380207992747,0.1506919944887583,0.1581418828884322,0.0074498883996739,2024,H2,Unknown
161224,0.0429968870274591,0.0414613523674392,0.0445866454368939,0.0031252930694547,2022,H1,Not Mentioned
185721,0.0940644179869406,0.0917838360128303,0.0963956518870048,0.0046118158741744,2024,H1,Not Mentioned
200861,0.0433914751529694,0.0420139907802709,0.0448120095891624,0.0027980188088914,2021,H1,Unknown
169146,0.0465634937501819,0.0449564379634265,0.048225096074279,0.0032686581108524,2023,H1,Not Mentioned
140224,0.0660556046186226,0.0639476196542249,0.0682280127874541,0.0042803931332292,2023,H2,Not Mentioned
321420,0.1677940868486513,0.1656576701700305,0.1699524436526646,0.004294773482634,2024,H2,Disclosure Required
328369,0.0923510747662531,0.0907567146277376,0.0939705489635376,0.0032138343358,2023,H2,Disclosure Required
482640,0.1856372977314245,0.1831997972487149,0.1880997609603053,0.0048999637115903,2025,H1,Disclosure Required
332032,0.0524260189163197,0.05125853833466,0.05361858760471,0.00236004927005,2021,H2,Disclosure Required
349021,0.0610709807804529,0.0598114205482492,0.0623553067253229,0.0025438861770737,2023,H1,Disclosure Required
324979,0.0540089986959635,0.0528068892784198,0.0552368774020392,0.0024299881236193,2022,H1,Disclosure Required
361347,0.0512024200218608,0.0500933899343212,0.0523346504628653,0.0022412605285441,2021,H1,Disclosure Required
318233,0.0534179732181727,0.0522063213865094,0.0546561245167039,0.0024498031301944,2022,H2,Disclosure Required
394572,0.1302485706950628,0.128543710294506,0.1319726182157865,0.0034289079212804,2024,H1,Disclosure Required
