year,month,Publisher,count,alpha,ci_lower,ci_upper
2021,2,AMER ASSOC CANCER RESEARCH,1559,0.05124424938791673,0.038755132328356,0.06747555489384474
2021,1,SPRINGER BASEL AG,234,0.0,0.0,0.09600129411602637
2021,1,AMER GEOPHYSICAL UNION,310,0.03770348233931776,0.01569592912369367,0.08781529008559703
2021,1,AMER ECONOMIC ASSOC,10,0.0,0.0,0.827711066709642
2021,1,AMER INST MATHEMATICAL SCIENCES-AIMS,1062,0.009238452670256895,0.003030555275830527,0.027808131822844362
2021,2,"AMER PSYCHIATRIC PUBLISHING, INC",29,0.0,0.0,0.20647230052112125
2021,2,PALGRAVE MACMILLAN LTD,21,0.0,0.0,0.5775504079551478
2021,2,"AMER OCCUPATIONAL THERAPY ASSOC, INC",10,0.0,0.0,0.7670543254613279
2021,1,WALTER DE GRUYTER GMBH,95,0.11854209757852364,0.04996241229078661,0.2559002070320278
2021,2,JOURNAL MATER SCI TECHNOL,43,0.0,0.0,0.11337435660098835
2021,2,JOHN WILEY & SONS LTD,116,0.12344687557619786,0.06250795860106066,0.2292663492398882
2021,1,SPRINGER LONDON LTD,93,0.12529648300016502,0.05845385390425499,0.2484084500688379
2021,2,AMER PSYCHOLOGICAL ASSOC,89,0.0,0.0,0.15317757630515486
2021,3,ADIS INT LTD,114,0.03981612798799335,0.007209945054181779,0.19144508391765844
2021,1,SPRINGER FRANCE,36,0.04077309646529958,0.005707105128991809,0.2394148114514327
2021,2,AMER COLL PHYSICIANS,56,0.05109911060892873,0.011184749146160756,0.20405862801711286
2021,1,SPRINGER HEIDELBERG,1209,0.026812348407829995,0.015333486356452607,0.04647882377781296
2021,2,AMER PHYSIOLOGICAL SOC,117,0.09771300038773946,0.03762565989920916,0.23075040974761235
2021,1,SPRINGER JAPAN KK,71,0.03549845469268811,0.006392170474786909,0.17393729491351645
2021,2,JOHN WILEY & SONS INC,11,0.2273614103026703,0.03736691055776473,0.6904760262084282
2021,2,AMER ASSOC ADVANCEMENT SCIENCE,388,0.04808710857328408,0.01626867119963959,0.1336797963136881
2021,1,AMER MEDICAL ASSOC,484,0.04167183910049456,0.020666640456787014,0.08223366077270944
2021,2,AMER PHYSICAL SOC,797,0.0018537605571715176,1.2838152051282201e-06,0.7287532004153622
2021,2,AMER ACCOUNTING ASSOC,22,0.09004505967926871,0.010304720844996984,0.48466112070166995
2021,1,"UNIV KRAGUJEVAC, FAC SCIENCE",29,0.0,0.0,0.47872437393531453
2021,2,PHYSICIANS POSTGRADUATE PRESS,11,0.0,0.0,0.5262965712267802
