ID,Allowed_Usage
1,AI assisted copy editing; Formatting changes; Grammar correction; Punctuation correction; Readability improvement; Spelling correction; Style enhancement; Tone adjustment; Wording changes
2,General writing assistance
3,General editing; Grammar improvement; Spelling improvement
4,Grammar checking; Reference checking; Spelling checking
5,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
6,Grammar; Language polishing; Paraphrasing; Spelling; Summarizing
7,Grammar checking; Language enhancement; Readability improvement; Reference checking; Spelling checking
8,General writing assistance
9,Content generation
10,General writing assistance
11,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
12,Language improvement; Readability enhancement
13,General editing; Grammar improvement; Spelling improvement
14,Clarity improvement; Editing optimization; Grammar checking; Phrase suggestion; Spelling correction; Writing assistance
15,General writing assistance
16,General writing assistance
17,General writing assistance
18,Language enhancement; Readability improvement
21,Drafting of scientific manuscripts
22,General writing assistance
23,General writing assistance
24,Language improvement; Readability improvement
25,General writing assistance
26,General writing assistance
27,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
28,Language improvement; Readability improvement
29,General writing assistance
30,General writing assistance
32,Editing
33,General writing assistance
34,Grammar enhancement; Revising; Spelling checking; Writing assistance
35,General writing assistance
36,General writing assistance
37,General writing assistance
38,General writing assistance
39,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
40,General writing assistance
41,General writing assistance
42,Content generation; Translation
44,Accessibility enhancement; Language improvement; Quality improvement
45,General writing assistance
46,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
47,General writing assistance
48,Grammar checking; Language improvement; Readability improvement; Reference checking; Spelling checking
50,General writing assistance
51,General writing assistance
54,Formatting; Grammar checking; Punctuation correction; Spelling correction; Structure improvement; Text editing
55,General writing assistance
58,Text creation; Text editing
59,General writing assistance
60,Grammar checking; Spelling checking; Writing assistance
61,Content generation
62,Content generation
64,General writing assistance
65,General writing assistance
66,Language improvement; Readability improvement
67,Grammar checking; Language translation; Spell checking; Text snippet inclusion
68,General writing assistance
