,ID,Category,Standardized_Location
0,1,Disclosure Required,Methods
1,2,Disclosure Required,Methods
2,3,Disclosure Required,Methods
3,4,Disclosure Required,Methods
4,5,Disclosure Required,AI Declaration Section
5,6,Disclosure Required,Acknowledgements
6,7,Disclosure Required,Before References
7,8,Disclosure Required,AI Declaration Section
8,9,Disclosure Required,Acknowledgements
9,10,Disclosure Required,Methods
10,11,Disclosure Required,AI Declaration Section
11,12,Disclosure Required,Acknowledgements
12,13,Disclosure Required,Methods
13,14,Disclosure Required,Submission System
14,15,Disclosure Required,Methods
15,16,Disclosure Required,Acknowledgements
16,17,Disclosure Required,Methods
17,18,Disclosure Required,Within Manuscript (Unspecified)
18,19,Not Mentioned,Not Specified
19,20,Not Mentioned,Not Specified
20,21,Disclosure Required,Submission System
21,22,Disclosure Required,Methods
22,23,Disclosure Required,Methods
23,24,Disclosure Required,Within Manuscript (Unspecified)
24,25,Disclosure Required,Within Manuscript (Unspecified)
25,26,Disclosure Required,Methods
26,27,Disclosure Required,AI Declaration Section
27,28,Disclosure Required,Within Manuscript (Unspecified)
28,29,Disclosure Required,Introduction/Preface
29,30,Disclosure Required,Methods
30,31,Not Mentioned,Not Specified
31,32,Disclosure Required,Methods
32,33,Disclosure Required,Methods
33,34,Disclosure Required,Methods
34,35,Disclosure Required,Cover Letter
35,36,Disclosure Required,Title Page
36,37,Disclosure Required,Within Manuscript (Unspecified)
37,38,Disclosure Required,AI Declaration Section
38,39,Disclosure Required,AI Declaration Section
39,40,Disclosure Required,Methods
40,41,Disclosure Required,Submission System
41,42,Disclosure Required,Methods
42,43,Strict Prohibition,Not Specified
43,44,Disclosure Required,Cover Letter
44,45,Disclosure Required,Methods
45,46,Disclosure Required,AI Declaration Section
46,47,Disclosure Required,Within Manuscript (Unspecified)
47,48,Disclosure Required,AI Declaration Section
48,49,Not Mentioned,Not Specified
49,50,Disclosure Required,Methods
50,51,Disclosure Required,Methods
51,52,Strict Prohibition,Not Specified
52,53,Strict Prohibition,Not Specified
53,54,Disclosure Required,Methods
54,55,Disclosure Required,Methods
55,56,Not Mentioned,Not Specified
56,57,Not Mentioned,Not Specified
57,58,Disclosure Required,Acknowledgements
58,59,Disclosure Required,Methods
59,60,Disclosure Required,Acknowledgements
60,61,Disclosure Required,Methods
61,62,Disclosure Required,Methods
62,63,Strict Prohibition,Not Specified
63,64,Disclosure Required,Methods
64,65,Disclosure Required,Methods
65,66,Disclosure Required,Before References
66,67,Disclosure Required,Methods
67,68,Disclosure Required,Methods
68,69,Disclosure Required,Methods
69,70,Disclosure Required,Methods
70,71,Disclosure Required,Within Manuscript (Unspecified)
71,72,Disclosure Required,Methods
72,73,Disclosure Required,Methods
73,74,Disclosure Required,Methods
74,75,Disclosure Required,Methods
75,76,Strict Prohibition,Not Specified
76,77,Not Mentioned,Not Specified
77,78,Disclosure Required,Methods
78,79,Disclosure Required,Submission System
79,80,Disclosure Required,Acknowledgements
80,81,Disclosure Required,Within Manuscript (Unspecified)
81,82,Disclosure Required,Methods
82,83,Disclosure Required,Acknowledgements
83,84,Disclosure Required,Methods
84,85,Not Mentioned,Not Specified
85,86,Disclosure Required,Methods
86,87,Disclosure Required,Submission System
87,88,Disclosure Required,Methods
88,89,Disclosure Required,Cover Letter
89,90,Disclosure Required,Submission System
90,91,Disclosure Required,Submission System
91,92,Disclosure Required,Methods
92,93,Not Mentioned,Not Specified
93,94,Disclosure Required,Methods
94,95,Disclosure Required,Methods
95,96,Disclosure Required,Methods
96,97,Disclosure Required,Acknowledgements
97,98,Disclosure Required,Methods
98,99,Disclosure Required,Methods
99,100,Disclosure Required,Acknowledgements
100,101,Not Mentioned,Not Specified
101,102,Not Mentioned,Not Specified
102,103,Disclosure Required,Before References
103,104,Disclosure Required,Within Manuscript (Unspecified)
104,105,Disclosure Required,AI Declaration Section
105,106,Disclosure Required,Cover Letter
106,107,Strict Prohibition,Not Specified
107,108,Disclosure Required,Within Manuscript (Unspecified)
108,109,Disclosure Required,Within Manuscript (Unspecified)
109,110,Disclosure Required,AI Declaration Section
110,111,Disclosure Required,Methods
111,112,Disclosure Required,AI Declaration Section
112,113,Disclosure Required,Within Manuscript (Unspecified)
113,114,Disclosure Required,Submission System
114,115,Disclosure Required,AI Declaration Section
115,116,Disclosure Required,Cover Letter
116,117,Disclosure Required,AI Declaration Section
117,118,Disclosure Required,Methods
118,119,Disclosure Required,Before References
119,120,Disclosure Required,Methods
120,121,Disclosure Required,Acknowledgements
121,122,Disclosure Required,Acknowledgements
122,123,Disclosure Required,Other
123,124,Disclosure Required,Methods
124,125,Disclosure Required,Within Manuscript (Unspecified)
125,126,Disclosure Required,Cover Letter
126,127,Disclosure Required,Methods
127,128,Disclosure Required,Submission System
128,129,Disclosure Required,Submission System
129,130,Disclosure Required,Methods
130,131,Disclosure Required,Within Manuscript (Unspecified)
131,132,Disclosure Required,Methods
132,133,Disclosure Required,Within Manuscript (Unspecified)
133,134,Disclosure Required,Methods
134,135,Disclosure Required,Cover Letter
135,136,Not Mentioned,Not Specified
136,137,Disclosure Required,AI Declaration Section
137,138,Disclosure Required,Methods
138,139,Disclosure Required,Methods
139,140,Disclosure Required,Acknowledgements
140,141,Not Mentioned,Not Specified
141,142,Disclosure Required,Within Manuscript (Unspecified)
142,143,Disclosure Required,Methods
143,144,Disclosure Required,Within Manuscript (Unspecified)
144,145,Disclosure Required,Acknowledgements
145,146,Strict Prohibition,Not Specified
146,147,Disclosure Required,Other
147,148,Disclosure Required,Methods
148,149,Disclosure Required,Methods
149,150,Disclosure Required,Methods
150,151,Disclosure Required,Methods
151,152,Disclosure Required,Methods
152,153,Disclosure Required,Methods
153,154,Disclosure Required,Methods
154,155,Disclosure Required,Within Manuscript (Unspecified)
155,156,Disclosure Required,Within Manuscript (Unspecified)
156,157,Disclosure Required,Other
157,158,Disclosure Required,Methods
158,159,Disclosure Required,Within Manuscript (Unspecified)
159,160,Disclosure Required,Other
160,161,Strict Prohibition,Not Specified
161,162,Strict Prohibition,Not Specified
162,163,Disclosure Required,Methods
163,164,Disclosure Required,AI Declaration Section
164,165,Disclosure Required,Methods
165,166,Disclosure Required,Methods
166,167,Disclosure Required,Methods
167,168,Disclosure Required,AI Declaration Section
168,169,Disclosure Required,Cover Letter
169,170,Disclosure Required,Title Page
170,171,Open,Not Specified
171,172,Disclosure Required,Methods
172,173,Disclosure Required,Methods
173,174,Disclosure Required,Methods
174,175,Disclosure Required,Methods
175,176,Not Mentioned,Not Specified
176,177,Disclosure Required,Methods
177,178,Disclosure Required,AI Declaration Section
178,179,Open,Not Specified
179,180,Disclosure Required,Methods
180,181,Disclosure Required,Methods
181,182,Disclosure Required,Methods
182,183,Disclosure Required,Methods
183,184,Not Mentioned,Not Specified
184,185,Disclosure Required,Methods
185,186,Disclosure Required,Acknowledgements
186,187,Strict Prohibition,Not Specified
187,188,Disclosure Required,Within Manuscript (Unspecified)
188,189,Disclosure Required,Methods
189,190,Disclosure Required,Cover Letter
190,191,Disclosure Required,Within Manuscript (Unspecified)
191,192,Disclosure Required,Methods
192,193,Disclosure Required,Methods
193,194,Disclosure Required,Methods
194,195,Disclosure Required,Acknowledgements
195,196,Disclosure Required,Methods
196,197,Not Mentioned,Not Specified
197,198,Disclosure Required,Methods
198,199,Disclosure Required,Methods
199,200,Disclosure Required,AI Declaration Section
200,201,Disclosure Required,Methods
201,202,Disclosure Required,Within Manuscript (Unspecified)
202,203,Disclosure Required,Acknowledgements
203,204,Disclosure Required,Within Manuscript (Unspecified)
204,205,Disclosure Required,Methods
205,206,Disclosure Required,Methods
206,207,Open,Not Specified
207,208,Disclosure Required,Methods
208,209,Disclosure Required,Methods
209,210,Disclosure Required,Methods
210,211,Disclosure Required,Acknowledgements
211,212,Disclosure Required,Methods
212,213,Disclosure Required,Methods
213,214,Disclosure Required,Methods
214,215,Not Mentioned,Not Specified
215,216,Disclosure Required,Methods
216,217,Strict Prohibition,Not Specified
217,218,Disclosure Required,Methods
218,219,Disclosure Required,AI Declaration Section
219,220,Disclosure Required,Methods
220,221,Disclosure Required,Methods
221,222,Disclosure Required,Methods
222,223,Disclosure Required,Acknowledgements
223,224,Disclosure Required,Methods
224,225,Disclosure Required,Methods
225,226,Not Mentioned,Not Specified
226,227,Disclosure Required,Cover Letter
227,228,Disclosure Required,Methods
228,229,Disclosure Required,Methods
229,230,Disclosure Required,Methods
230,231,Disclosure Required,Within Manuscript (Unspecified)
231,232,Disclosure Required,Methods
232,233,Disclosure Required,AI Declaration Section
